src dest
40 24
2 0
40 21
46 1
10 21
29 30
24 9
24 10
7 1
8 21
36 7
17 10
17 25
20 19
13 19
16 13
23 31
11 15
23 38
13 47
13 46
45 3
43 24
43 22
16 47
21 18
21 17
48 29
31 7
6 44
32 30
14 28
48 3
0 15
0 14
5 0
30 16
42 49
5 44
40 28
44 28
42 48
12 36
13 1
2 4
18 8
47 29
47 30
13 7
46 29
41 9
12 34
31 34
20 32
11 35
9 43
25 22
12 19
6 37
36 13
25 27
43 42
26 6
43 48
43 49
17 27
48 46
5 28
18 0
10 27
9 10
15 20
4 0
22 48
35 37
11 6
35 5
11 37
5 14
14 40
6 33
6 38
12 13
33 28
2 32
0 8
15 2
45 22
20 38
45 25
18 14
23 12
22 3
6 23
5 6
35 0
25 41
38 11
5 37
46 47
29 3
25 39
10 40
33 44
21 39
36 34
23 26
22 41
18 40
20 2
13 20
30 3
26 33
27 9
39 3
17 39
30 4
8 39
24 28
4 39
4 32
15 35
32 16
32 13
43 41
36 31
49 24
4 8
4 3
28 26
9 25
19 38
1 48
24 42
23 34
15 38
39 45
38 12
